date,time,temperature_2m,temp_f
2026-08-07,2026-08-06T18:30,24.6,76.3
2026-08-07,2026-08-07T01:15,24.3,75.7
2026-08-07,2026-08-07T06:15,24.4,75.9
2026-08-07,2026-08-07T10:45,25.5,77.9
2026-08-08,2026-08-08T10:30,25.2,77.4
2026-08-08,2026-08-08T15:30,24.9,76.8
2026-08-09,2026-08-09T00:45,23.5,74.3
2026-08-10,2026-08-10T06:15,22.9,73.2
2026-08-10,2026-08-10T10:45,24.0,75.2
2026-08-11,2026-08-11T06:15,22.9,73.2
2026-08-11,2026-08-11T10:45,23.6,74.5
2026-08-11,2026-08-11T15:45,23.6,74.5
2026-08-12,2026-08-12T01:15,23.5,74.3
2026-08-12,2026-08-12T06:15,23.1,73.6
2026-08-12,2026-08-12T10:45,23.1,73.6
2026-08-12,2026-08-12T15:45,23.5,74.3
2026-08-13,2026-08-13T01:15,24.0,75.2
2026-08-13,2026-08-13T06:15,24.4,75.9
2026-08-13,2026-08-13T15:45,24.7,76.5
2026-08-14,2026-08-14T10:45,24.2,75.6
2026-08-14,2026-08-14T15:15,24.0,75.2
2026-08-15,2026-08-15T00:30,24.6,76.3
2026-08-15,2026-08-15T10:15,24.9,76.8
2026-08-15,2026-08-15T15:15,25.0,77.0
2026-08-16,2026-08-16T00:30,24.9,76.8
2026-08-16,2026-08-16T10:15,25.0,77.0
2026-08-16,2026-08-16T15:15,25.1,77.2
2026-08-17,2026-08-17T00:45,25.1,77.2
2026-08-17,2026-08-17T05:45,25.3,77.5
2026-08-17,2026-08-17T10:30,26.8,80.2
2026-08-17,2026-08-17T15:15,25.2,77.4
2026-08-18,2026-08-18T00:30,24.3,75.7
2026-08-18,2026-08-18T05:45,24.2,75.6
2026-08-18,2026-08-18T10:30,24.3,75.7
2026-08-18,2026-08-18T15:15,24.2,75.6
2026-08-19,2026-08-19T00:30,24.6,76.3
2026-08-19,2026-08-19T05:45,24.5,76.1
2026-08-19,2026-08-19T10:30,25.4,77.7
2026-08-19,2026-08-19T15:15,25.7,78.3
2026-08-20,2026-08-20T00:45,24.7,76.5
2026-08-20,2026-08-20T05:45,24.6,76.3
2026-08-20,2026-08-20T10:30,25.1,77.2
2026-08-20,2026-08-20T15:30,25.0,77.0
2026-08-21,2026-08-21T00:45,21.3,70.3
2026-08-21,2026-08-21T05:45,20.8,69.4
2026-08-21,2026-08-21T10:30,22.7,72.9
2026-08-21,2026-08-21T15:30,23.6,74.5
2026-08-22,2026-08-22T00:30,23.5,74.3
2026-08-22,2026-08-22T05:45,23.2,73.8
2026-08-22,2026-08-22T10:15,23.4,74.1
2026-08-22,2026-08-22T15:15,23.4,74.1
2026-08-23,2026-08-23T00:30,22.1,71.8
2026-08-23,2026-08-23T05:45,22.9,73.2
2026-08-23,2026-08-23T10:15,24.1,75.4
2026-08-23,2026-08-23T15:15,24.6,76.3
