date,max_temp,min_temp
2021-07-01,31.2,23.3
2021-07-02,25.3,20.9
2021-07-03,24.4,18.9
2021-07-04,26.1,17.6
2021-07-05,27.1,20.2
2021-07-06,29.1,23.2
2021-07-07,31.0,24.7
2021-07-08,28.7,23.4
2021-07-09,29.6,23.4
2021-07-10,29.1,22.4
2021-07-11,27.0,22.8
2021-07-12,30.3,25.4
2021-07-13,31.4,26.0
2021-07-14,31.6,24.5
2022-07-01,27.8,22.8
2022-07-02,28.5,23.7
2022-07-03,27.4,21.1
2022-07-04,27.0,19.9
2022-07-05,26.8,22.4
2022-07-06,32.0,23.8
2022-07-07,28.4,22.6
2022-07-08,26.0,21.8
2022-07-09,24.3,20.6
2022-07-10,24.6,20.6
2022-07-11,25.0,20.0
2022-07-12,28.7,21.8
2022-07-13,32.0,23.3
2022-07-14,32.1,22.1
2023-07-01,25.0,20.6
2023-07-02,29.8,23.8
2023-07-03,31.6,24.1
2023-07-04,31.5,24.2
2023-07-05,29.7,23.5
2023-07-06,29.0,22.8
2023-07-07,28.0,23.4
2023-07-08,28.2,22.9
2023-07-09,26.8,22.0
2023-07-10,29.1,20.8
2023-07-11,29.1,22.1
2023-07-12,32.0,22.7
2023-07-13,30.6,24.6
2023-07-14,29.7,24.8
2024-07-01,27.4,18.6
2024-07-02,26.1,18.9
2024-07-03,25.2,18.8
2024-07-04,28.7,22.2
2024-07-05,31.7,23.8
2024-07-06,30.3,25.1
2024-07-07,31.6,25.4
2024-07-08,29.9,24.6
2024-07-09,30.4,25.4
2024-07-10,28.6,25.2
2024-07-11,28.3,24.2
2024-07-12,27.6,23.6
2024-07-13,28.1,23.0
2024-07-14,28.9,21.9
2025-07-01,31.9,24.1
2025-07-02,24.7,22.2
2025-07-03,30.5,22.5
2025-07-04,27.2,21.3
2025-07-05,26.7,20.6
2025-07-06,28.0,23.2
2025-07-07,28.5,25.6
2025-07-08,33.1,24.6
2025-07-09,30.1,24.3
2025-07-10,27.8,22.5
2025-07-11,26.9,22.3
2025-07-12,27.9,22.3
2025-07-13,27.1,23.1
2025-07-14,28.0,23.9
